39Y2M	4C3N		accepted	species	Enterococcus quebecensis	Sistek et al., 2012	Bacillati	Bacillota	Bacilli	Lactobacillales		Enterococcaceae				Enterococcus		Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		bacteria
CSWPD	CSWBH		accepted	species	Pseudomonas quebecensis	Tambong et al., 2023	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pseudomonadales		Pseudomonadaceae				Pseudomonas		Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas		bacteria
72VJ5	84RBH		accepted	species	Marycarmenia gaspeensis	(Pettibone, 1961)	Animalia	Annelida	Polychaeta	Eunicida		Dorvilleidae				Marycarmenia		Eukaryota;Animalia;Annelida;Polychaeta;Errantia;Eunicida;Dorvilleidae;Marycarmenia		otheranimals
3598Y	84N5Z		accepted	species	Dialychone quebecensis	(Tovar-Hernandez, 2007)	Animalia	Annelida	Polychaeta	Sabellida		Sabellidae	Myxicolinae	Myxicolini		Dialychone		Eukaryota;Animalia;Annelida;Polychaeta;Sedentaria;Canalipalpata;Sabellida;Sabellidae;Myxicolinae;Myxicolini;Dialychone		otheranimals
4F82Z	6LQ4		accepted	species	Peronopsis gaspensis	Rasetti, 1948	Animalia	Arthropoda	Trilobita	Agnostida		Peronopsidae				Peronopsis		Eukaryota;Animalia;Arthropoda;Artiopoda;Trilobitomorpha;Trilobita;Agnostida;Peronopsidae;Peronopsis		otherarthropods
MLK6	3BQG		accepted	species	Borthaspidella gaspensis	Rasetti, 1954	Animalia	Arthropoda	Trilobita	Asaphida		Nileidae				Borthaspidella		Eukaryota;Animalia;Arthropoda;Artiopoda;Trilobitomorpha;Trilobita;Asaphida;Nileidae;Borthaspidella		otherarthropods
KX5V	38MS		accepted	species	Bathyholcus gaspensis	Rasetti, 1961	Animalia	Arthropoda	Trilobita	Ptychopariida		Ptychopariidae				Bathyholcus		Eukaryota;Animalia;Arthropoda;Artiopoda;Trilobitomorpha;Trilobita;Ptychopariida;Ptychopariidae;Bathyholcus		otherarthropods
NP6CP	4J4W		accepted	species	Eylais abitibiensis	Marshall, 1929	Animalia	Arthropoda	Arachnida	Trombidiformes	Eylaoidea	Eylaidae				Eylais		Eukaryota;Animalia;Arthropoda;Chelicerata;Arachnida;Acariformes;Trombidiformes;Prostigmata;Anystina;Eylaoidea;Eylaidae;Eylais		arachnids
TX5MN	87J8		accepted	species	Wandesia gaspensis	Habeeb, 1955	Animalia	Arthropoda	Arachnida	Trombidiformes	Hydryphantoidea	Hydryphantidae				Wandesia		Eukaryota;Animalia;Arthropoda;Chelicerata;Arachnida;Acariformes;Trombidiformes;Prostigmata;Anystina;Hydryphantoidea;Hydryphantidae;Wandesia		arachnids
99BY6	CTR7B		accepted	species	Anthrobia yamaskensis	(Dupérré & Paquin, 2007)	Animalia	Arthropoda	Arachnida	Araneae		Linyphiidae				Anthrobia		Eukaryota;Animalia;Arthropoda;Chelicerata;Arachnida;Araneae;Linyphiidae;Anthrobia		arachnids
45FDZ	5WSK		accepted	species	Mysis gaspensis	O.S. Tattersall, 1954	Animalia	Arthropoda	Malacostraca	Mysida		Mysidae	Mysinae	Mysini		Mysis		Eukaryota;Animalia;Arthropoda;Crustacea;Malacostraca;Mysida;Mysidae;Mysinae;Mysini;Mysis		crustacean
FFT9F	45FDZ		accepted	unranked	BOLD:AAC6554		Animalia	Arthropoda	Malacostraca	Mysida		Mysidae	Mysinae	Mysini		Mysis		Eukaryota;Animalia;Arthropoda;Crustacea;Malacostraca;Mysida;Mysidae;Mysinae;Mysini;Mysis;Mysis gaspensis		crustacean
8533T	84PML		accepted	species	Leptocythere quebecensis	Cronin, 1981	Animalia	Arthropoda	Ostracoda	Podocopida	Cytheroidea	Leptocytheridae				Leptocythere		Eukaryota;Animalia;Arthropoda;Crustacea;Ostracoda;Podocopa;Podocopida;Cytherocopina;Cytheroidea;Leptocytheridae;Leptocythere		crustacean
TNNJB	KVWVV		accepted	species	Xestobium gaspensis	White, 1975	Animalia	Arthropoda	Insecta	Coleoptera	Bostrichoidea	Ptinidae	Ernobiinae	Xestobiini		Xestobium		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Bostrichiformia;Bostrichoidea;Ptinidae;Ernobiinae;Xestobiini;Xestobium		coleoptera
QVN6J	73TM5		accepted	subspecies	Neandra brunnea quebecensis	Abdullah, 1968	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomeloidea	Cerambycidae	Parandrinae	Parandrini		Neandra		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Cerambycidae;Parandrinae;Parandrini;Neandra;Neandra brunnea		coleoptera
R6MBQ	5ZH5		accepted	species	Neogalerucella quebecensis	(Brown, 1938)	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomeloidea	Chrysomelidae	Galerucinae	Galerucini		Neogalerucella		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Galerucinae;Galerucini;Neogalerucella		coleoptera
GDQGD	R6MBQ		accepted	unranked	BOLD:ACA2932		Animalia	Arthropoda	Insecta	Coleoptera	Chrysomeloidea	Chrysomelidae	Galerucinae	Galerucini		Neogalerucella		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Cucujiformia;Chrysomeloidea;Chrysomelidae;Galerucinae;Galerucini;Neogalerucella;Neogalerucella quebecensis		coleoptera
L5ZJL	KTWP8		accepted	species	Agriotes quebecensis	W.J. Brown, 1933	Animalia	Arthropoda	Insecta	Coleoptera	Elateroidea	Elateridae	Elaterinae	Agriotini	Agriotina	Agriotes		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Elateridae;Elaterinae;Agriotini;Agriotina;Agriotes		coleoptera
GC2S7	L5ZJL		accepted	unranked	BOLD:ACA3765		Animalia	Arthropoda	Insecta	Coleoptera	Elateroidea	Elateridae	Elaterinae	Agriotini	Agriotina	Agriotes		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Elateridae;Elaterinae;Agriotini;Agriotina;Agriotes;Agriotes quebecensis		coleoptera
LBYTF	DDPJF		accepted	species	Ampedus quebecensis	W.J. Brown, 1933	Animalia	Arthropoda	Insecta	Coleoptera	Elateroidea	Elateridae	Elaterinae	Ampedini		Ampedus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Elateridae;Elaterinae;Ampedini;Ampedus		coleoptera
GC23W	LBYTF		accepted	unranked	BOLD:AAH2412		Animalia	Arthropoda	Insecta	Coleoptera	Elateroidea	Elateridae	Elaterinae	Ampedini		Ampedus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Elateriformia;Elateroidea;Elateridae;Elaterinae;Ampedini;Ampedus;Ampedus quebecensis		coleoptera
3SYH7	8VRS7		accepted	species	Leiodes quebecensis	Baranowski, 1993	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Leiodidae	Leiodinae	Leiodini		Leiodes		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Leiodidae;Leiodinae;Leiodini;Leiodes		coleoptera
JCRM	8XR36		accepted	species	Atheta (Hydrosmectomorpha) quebecensis	Webster & Klimaszewski, 2018	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Aleocharinae	Athetini	Athetina	Atheta	Atheta (Hydrosmectomorpha)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Aleocharinae;Athetini;Athetina;Atheta;Atheta (Hydrosmectomorpha)		coleoptera
6S5CH	8VRVP		accepted	species	Myrmecocephalus gatineauensis	Hoebeke, 1985	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Aleocharinae	Falagriini		Myrmecocephalus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Aleocharinae;Falagriini;Myrmecocephalus		coleoptera
GF6G2	6S5CH		accepted	unranked	BOLD:ACC7395		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Aleocharinae	Falagriini		Myrmecocephalus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Aleocharinae;Falagriini;Myrmecocephalus;Myrmecocephalus gatineauensis		coleoptera
6PP46	8XRQ4		accepted	species	Leptusa (Gatineauleptusa) gatineauensis	Klimaszewski & Pelletier, 2004	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Aleocharinae	Homalotini	Bolitocharina	Leptusa	Leptusa (Gatineauleptusa)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Aleocharinae;Homalotini;Bolitocharina;Leptusa;Leptusa (Gatineauleptusa)		coleoptera
GF655	6PP46		accepted	unranked	BOLD:ADH1807		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Aleocharinae	Homalotini	Bolitocharina	Leptusa	Leptusa (Gatineauleptusa)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Aleocharinae;Homalotini;Bolitocharina;Leptusa;Leptusa (Gatineauleptusa);Leptusa (Gatineauleptusa) gatineauensis		coleoptera
5288W	8VSCH		accepted	species	Stenus (Hypostenus) quebecensis	Puthz, 1971	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Steninae			Stenus	Stenus (Hypostenus)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Steninae;Stenus;Stenus (Hypostenus)		coleoptera
GF9BL	5288W		accepted	unranked	BOLD:ACA6645		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Steninae			Stenus	Stenus (Hypostenus)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Steninae;Stenus;Stenus (Hypostenus);Stenus (Hypostenus) quebecensis		coleoptera
54BN7	8VS4T		accepted	species	Tachinus (Tachinus) quebecensis	Robert, 1946	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Tachyporinae	Tachinusini		Tachinus	Tachinus (Tachinus)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Tachyporinae;Tachinusini;Tachinus;Tachinus (Tachinus)		coleoptera
GFH6T	54BN7		accepted	unranked	BOLD:AAG4326		Animalia	Arthropoda	Insecta	Coleoptera	Staphylinoidea	Staphylinidae	Tachyporinae	Tachinusini		Tachinus	Tachinus (Tachinus)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Tachyporinae;Tachinusini;Tachinus;Tachinus (Tachinus);Tachinus (Tachinus) quebecensis		coleoptera
MMQF	BXYYH		accepted	species	Botanophila abitibiensis	(Huckett, 1929)	Animalia	Arthropoda	Insecta	Diptera		Anthomyiidae				Botanophila		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Anthomyiidae;Botanophila		diptera
3YN4K	BY2VW		accepted	species	Medetera gaspensis	Bickel, 1985	Animalia	Arthropoda	Insecta	Diptera		Dolichopodidae	Medeterinae			Medetera		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Dolichopodidae;Medeterinae;Medetera		diptera
CQCK3	CQCG6		provisionally accepted	species	Eriocera (Eriocera) gaspensis	Alexander, 1931	Animalia	Arthropoda	Insecta	Diptera							Eriocera (Eriocera)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Eriocera (Eriocera)		diptera
756T6	8GZ6Z		accepted	species	Ormosia (Parormosia) gaspensis	Alexander, 1929	Animalia	Arthropoda	Insecta	Diptera		Limoniidae	Chioneinae			Ormosia	Ormosia (Parormosia)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Limoniidae;Chioneinae;Ormosia;Ormosia (Parormosia)		diptera
3LH3Z	8GNFD		accepted	species	Hexatoma (Eriocera) gaspensis	(Alexander, 1931)	Animalia	Arthropoda	Insecta	Diptera		Limoniidae	Limnophilinae			Hexatoma	Hexatoma (Eriocera)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Limoniidae;Limnophilinae;Hexatoma;Hexatoma (Eriocera)		diptera
6LKJS	8GN6R		accepted	species	Helius (Helius) luachimoensis	Alexander, 1963	Animalia	Arthropoda	Insecta	Diptera		Limoniidae	Limoniinae			Helius	Helius (Helius)	Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Limoniidae;Limoniinae;Helius;Helius (Helius)		diptera
4C5HZ	BYL6B		accepted	species	Pallicephala quebecensis	Webb & Irwin, 1991	Animalia	Arthropoda	Insecta	Diptera		Therevidae	Therevinae			Pallicephala		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Diptera;Therevidae;Therevinae;Pallicephala		diptera
4XNH6	7HM8		accepted	species	Siphlonurus quebecensis	(Provancher, 1878)	Animalia	Arthropoda	Insecta	Ephemeroptera	Baetoidea	Siphlonuridae				Siphlonurus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Baetoidea;Siphlonuridae;Siphlonurus		otherinsects
GBSXM	4XNH6		accepted	unranked	BOLD:AAB4101		Animalia	Arthropoda	Insecta	Ephemeroptera	Baetoidea	Siphlonuridae				Siphlonurus		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Baetoidea;Siphlonuridae;Siphlonurus;Siphlonurus quebecensis		otherinsects
4SBNR	78W9		accepted	species	Rhithrogena gaspeensis	McDunnough, 1933	Animalia	Arthropoda	Insecta	Ephemeroptera	Heptagenioidea	Heptageniidae				Rhithrogena		Eukaryota;Animalia;Arthropoda;Hexapoda;Insecta;Ephemeroptera;Heptagenioidea;Heptageniidae;Rhithrogena		otherinsects
