sp,latin,type,continent,country
canadensis,Canada,Country,North America,Canada
oregonensis,Oregon,State,North America,USA
coloradensis,Colorado,State,North America,USA
alaskensis,Alaska,State,North America,USA
arvensis,Field,Habitat,N/A,N/A
nevadensis,Nevada,State,North America,USA
pratensis,Meadow,Habitat,N/A,N/A
vancouverensis,Vancouver Island,Island,North America,Canada
quebecensis,Quebec,Province,North America,Canada
utahensis,Utah,State,North America,USA
idahoensis,Idaho,State,North America,USA
yukonensis,Yukon,Territory,North America,Canada
carolinensis,Carolina,Region,North America,USA
sitchensis,Sitka,City,North America,USA
columbiensis,British Columbia,Province,North America,Canada
acadiensis,Acadia,Region,North America,Canada
manitobensis,Manitoba,Province,North America,Canada
michiganensis,Michigan,State,North America,USA
cascadensis,Cascade Range,Region,North America,USA
californiensis,California,State,North America,USA
hortensis,Garden,Habitat,N/A,N/A
virginiensis,Virginia,State,North America,USA
iowensis,Iowa,State,North America,USA
labradorensis,Labrador,Region,North America,Canada
noveboracensis,New York,State,North America,USA
ontarioensis,Ontario,Province,North America,Canada
pugetensis,Puget Sound,Region,North America,USA
alascensis,Alaska,State,North America,USA
chinensis,China,Country,Asia,China
churchillensis,Churchill,City,North America,Canada
illinoensis,Illinois,State,North America,USA
jamaicensis,Jamaica,Country,North America,Jamaica
mainensis,Maine,State,North America,USA
sinensis,China,Country,Asia,China
albertensis,Alberta,Province,North America,Canada
appalachensis,Appalachia,Region,North America,USA
brasiliensis,Brazil,Country,South America,Brazil
capensis,Cape of Good Hope,Region,Africa,South Africa
dakotensis,Dakota,Region,North America,USA
floridensis,Florida,State,North America,USA
gaspensis,Gaspé,Region,North America,Canada
missouriensis,Missouri,State,North America,USA
montanensis,Montana,State,North America,USA
ontariensis,Ontario,Province,North America,Canada
tahoensis,Tahoe,Region,North America,USA
wisconsinensis,Wisconsin,State,North America,USA
appalachiensis,Appalachia,Region,North America,USA
boulderensis,Boulder,City,North America,USA
crestonensis,Creston,City,North America,Canada
illinoiensis,Illinois,State,North America,USA
laramiensis,Laramie,City,North America,USA
maderensis,Madeira,Island,Africa,Portugal
